claimId,date,carCompany,carModel,licensePlate,numOfPhoto
46856,2024-03-15,HYUNDAI,ACCENT,15K06350,19
46855,2024-03-15,HONDA,CIVIC,86A18235,8
46854,2024-03-15,KIA,K3,17A28658,4
46853,2024-03-15,SUZUKI,XL7,50E01171,4
46852,2024-03-15,HYUNDAI,ACCENT,30G92908,6
46851,2024-03-15,MAZDA,3,35A25326,5
46850,2024-03-15,KIA,MORNING,35A27727,6
46849,2024-03-15,CHENGLONG,H7,89R01404,5
46848,2024-03-15,TOYOTA,RAIZE,38A50220,9
46847,2024-03-15,KIA,K5,17A28018,6
46846,2024-03-15,MAZDA,CX3,78A12441,6
46844,2024-03-15,FORD,TERRITORY,17A33731,5
46842,2024-03-15,CNHTC,HOWO,37H03099,10
46841,2024-03-15,HYUNDAI,ACCENT,35A21204,5
46839,2024-03-15,HYUNDAI,ACCENT,37A86390,13
46838,2024-03-15,HYUNDAI,SANTAFE,30H48760,5
46837,2024-03-15,MITSUBISHI,XPANDER,18E00489,16
46836,2024-03-15,VEAM,,47H03143,6
46835,2024-03-15,NISSAN,ALMERA,30K29060,6
46833,2024-03-15,FORD,RANGER,29H21864,4
46832,2024-03-15,HYUNDAI,ACCENT,71E00031,8
46831,2024-03-15,MITSUBISHI,XPANDER,83A14823,4
46830,2024-03-15,VINFAST,FADIL,51H46279,11
46828,2024-03-15,,,70R01804,9
46874,2024-03-15,KIA,,79A45282,5
46358,2024-03-15,MITSUBISHI,XPANDER,30H90031,7
46350,2024-03-15,ISUZU,,67C12599,12
46349,2024-03-15,HYUNDAI,CRETA,15K10111,4
46348,2024-03-15,HYUNDAI,ACCENT,60K06810,5
46347,2024-03-15,TOYOTA,VIOS,60K08216,8
46581,2024-03-15,KIA,,29H72699,11
46827,2024-03-15,MITSUBISHI,XPANDER,68A22809,5
46824,2024-03-15,TOYOTA,AVANZA,75A29253,4
46823,2024-03-15,CNHTC,SITRAK,70H01377,7
46822,2024-03-15,NISSAN,ALMERA,20A56178,6
46821,2024-03-15,HYUNDAI,,88C24884,23
46820,2024-03-15,TOYOTA,VIOS,51K18283,11
